Relay URL,Latitude,Longitude
auth.nostr1.com,40.7057,-74.0136
nostr-02.uid.ovh,50.9871,2.12554
relayone.soundhsa.com,39.0997,-94.5786
nostr.myshosholoza.co.za:443,52.3676,4.90414
nostr.christiansass.de,54.3213,10.1349
relay.vrtmrz.net:443,43.6532,-79.3832
relay.satsapp.me,50.4754,12.3683
relay.wellorder.net,45.5201,-122.99
relay.ditto.pub,43.6532,-79.3832
ynostr.yael.at,60.1699,24.9384
nostr.tac.lol,47.4748,-122.273
relay.edufeed.org,49.4521,11.0767
nostr.islandarea.net,35.4669,-97.6473
relay.openspecs.uid.ovh,50.9871,2.12554
inbox.scuba323.com,40.8218,-74.45
x.kojira.io,43.6532,-79.3832
relay2.veganostr.com,60.1699,24.9384
nostr-verified.wellorder.net,45.5201,-122.99
nostr.davenov.com,50.1109,8.68213
relay.dreamith.to,43.6532,-79.3832
relay.veganostr.com,60.1699,24.9384
bitcoiner.social,47.6743,-117.112
cache.trustr.ing,43.6548,-79.3885
nostr.data.haus,50.4754,12.3683
relay.binaryrobot.com,43.6532,-79.3832
articles.layer3.news,37.3387,-121.885
nostr.snowbla.de:443,50.4754,12.3683
denimroad.feeds.relay.tools,38.6327,-90.1961
relay.ohstr.com:443,43.6532,-79.3832
relay.nostrfy.org,35.6916,139.768
relay.klabo.world,47.674,-122.122
soloco.nl,43.6532,-79.3832
nexus.libernet.app,43.6532,-79.3832
nostr.hekster.org:443,37.3986,-121.964
relay.primal.net,43.6532,-79.3832
relay.lanacoin-eternity.com,40.8302,-74.1299
zencrown.relay2aeon.quest,52.3061,4.6907
relay.gulugulu.moe:443,43.6532,-79.3832
nostrelay.circum.space:443,52.2245,8.826
relay5.bitransfer.org,43.6532,-79.3832
chat-relay.zap-work.com,43.6532,-79.3832
nostr-relay.zimage.com,34.282,-118.439
relay.i9.eti.br,43.6532,-79.3832
relay.lacrypta.ar,43.6532,-79.3832
relay.satlantis.io,39.0438,-77.4874
nostr.bitcoiner.social:443,47.6743,-117.112
myvoiceourstory.org,37.3598,-121.981
relay.cloistr.xyz,42.337,-77.3178
nostr.liberty.fans,36.8767,-89.5879
relay.zone667.com,60.1699,24.9384
relay.getvia.xyz,60.1699,24.9384
schnorr.me,43.6532,-79.3832
nostr.debate.report,50.1109,8.68213
nostr-relay.corb.net:443,39.6478,-104.988
nip85.nosfabrica.com,39.0997,-94.5786
relay.solife.me,43.6532,-79.3832
relay.cypherflow.ai,48.8575,2.35138
relay.mostr.pub:443,43.6532,-79.3832
relay.tapestry.ninja,40.8054,-74.0241
nostr-01.yakihonne.com,1.32123,103.695
relay.s-w.art,43.6532,-79.3832
nostr.azzamo.net:443,52.2633,21.0283
relay.froth.zone,60.1699,24.9384
relay.kizuna-miki.com,35.694,139.754
relay.bowlafterbowl.com,32.9483,-96.7299
top.testrelay.top,43.6532,-79.3832
nostr-kyomu-haskell.onrender.com,37.7775,-122.397
nostr.wecsats.io,43.6532,-79.3832
relay1.nostrchat.io,60.1699,24.9384
relay.gulugulu.moe,43.6532,-79.3832
aurum.saturnali.net,46.2044,6.14316
nostr.txlyre.website,60.1699,24.9384
nostras.app,38.7946,-106.535
bridge.tagomago.me,42.3601,-71.0589
cs-relay.nostrdev.com:443,50.4754,12.3683
21milionidinostr.duckdns.org,41.8945,12.6493
wisp.djorivaltech.com,43.6532,-79.3832
relay.manneken.brussels,49.4543,11.0746
nostr.oxtr.dev,50.4754,12.3683
nostr.n7ekb.net,47.4941,-122.294
nostr.unkn0wn.world,46.8499,9.53287
pocketrelay.live,40.8302,-74.1299
scores.brainstorm.world,39.0997,-94.5786
relay.guggero.org,46.5971,9.59652
relay.layer.systems,49.0291,8.35695
relay.wisp.talk,49.4543,11.0746
bendernostur.duckdns.org:8443,50.1109,8.68213
dev-relay.nostr.space,43.6532,-79.3832
relay.mwaters.net,50.9871,2.12554
strfry.shock.network,39.0438,-77.4874
n.musicroadmap.com,35.694,139.754
cs-relay.nostrdev.com,50.4754,12.3683
talon.quest,43.6532,-79.3832
vidar.nestoris.online,59.3911,17.8752
nostr.red5d.dev,43.6532,-79.3832
nostr.rtvslawenia.com:443,49.4543,11.0746
nostr.2b9t.xyz,34.0549,-118.243
relay.angor.io,48.1046,11.6002
conduitl2.fly.dev,38.7946,-106.535
relay2.angor.io,48.1046,11.6002
relay.getsafebox.app,43.6532,-79.3832
nostrcity-club.fly.dev:443,38.7946,-106.535
vault.iris.to,43.6532,-79.3832
nostr-01.uid.ovh,50.9871,2.12554
nostr.sathoarder.com:443,48.5734,7.75211
reraw.pbla2fish.cc,43.6532,-79.3832
nostr.pbfs.io,50.4754,12.3683
relay.mypathtofire.de,42.8864,-78.8784
relay.nostrian-conquest.com,41.223,-111.974
relay.nostriot.com,41.5695,-83.9786
nostr.robosats.org,64.1476,-21.9392
relay.getsafebox.app:443,43.6532,-79.3832
dev.relay.stream,43.6532,-79.3832
relay.btcforplebs.com,43.6532,-79.3832
schnorr.me:443,43.6532,-79.3832
nostrue.com,40.8054,-74.0241
relay.aarpia.com,37.3986,-121.964
relay.mccormick.cx:443,52.3563,4.95714
relay.fiatdenier.com,43.7787,-79.5393
freelay.sovbit.host,60.1699,24.9384
nostr.computingcache.com,45.5341,-122.956
relay.piazza.today,48.122,11.589
relay.nostr.net,43.6532,-79.3832
nostr-relay.xbytez.io,50.6924,3.20113
strfry.shock.network:443,39.0438,-77.4874
nostr.girino.org,43.6532,-79.3832
nostr-pub.wellorder.net,45.5201,-122.99
nostr.hifish.org,47.4009,8.57814
relay.ezernode.net,52.6921,6.19372
relay.artiostr.ch,43.6532,-79.3832
relay01.lnfi.network,35.6764,139.65
relay.edufeed.org:443,49.4521,11.0767
relay.loveisbitcoin.com,43.6532,-79.3832
nostr.purpura.cloud,43.6532,-79.3832
relay.atsocy.com,43.6532,-79.3832
relay.conduit.market,38.7946,-106.535
relay.pocketnostr.com,40.8054,-74.0241
relay.cosmicbolt.net,37.3986,-121.964
relay.bornheimer.app,50.1109,8.68213
nostrcity-club.fly.dev,38.7946,-106.535
relay.nostr.dev.br,48.1046,11.6002
relay.nuts.cash,52.3676,4.90414
nostr.rtvslawenia.com,49.4543,11.0746
relay.tdw.lol,41.8781,-87.6298
relay.ohstr.com,43.6532,-79.3832
relay.chatbett.de,40.7128,-74.006
nostr2.girino.org:443,43.6532,-79.3832
relay.dwadziesciajeden.pl,52.2297,21.0122
nostr.spicyz.io,43.6532,-79.3832
relay2.fiatdenier.com,50.1013,8.62643
relay.binaryrobot.com:443,43.6532,-79.3832
nostr.thebiglake.org,32.71,-96.6745
relay.jmoose.rocks,32.8009,-96.8195
nostr.easycryptosend.it,43.6532,-79.3832
relay.aidatanorge.no,43.6532,-79.3832
memlay.v0l.io,53.3498,-6.26031
dm-test-nostr-rs-42-disabled.samt.st,43.6532,-79.3832
nostr.notribe.net,40.8302,-74.1299
relay.plebeian.market,50.1109,8.68213
nostr.islandarea.net:443,35.4669,-97.6473
ensemble-appear-locking-forming.trycloudflare.com,43.6532,-79.3832
nostr.bitcoiner.social,47.6743,-117.112
relay.samt.st,40.8302,-74.1299
nostr-relay.corb.net,39.6478,-104.988
relay.tdw.gg,34.0549,-118.243
relay.olas.app,60.1699,24.9384
relay.yoinekodo.jp,43.6532,-79.3832
relay.mccormick.cx,52.3563,4.95714
syb.lol,34.0549,-118.243
0x-nostr-relay.fly.dev,38.7946,-106.535
vm-1734.lnvps.cloud,53.3498,-6.26031
relay.sigit.io:443,50.4754,12.3683
node.kommonzenze.de,49.4521,11.0767
staging.yabu.me,35.6092,139.73
strfry.bonsai.com,39.0438,-77.4874
relay.44billion.net,43.6532,-79.3832
nostr.mom,50.4754,12.3683
relay.notoshi.win,13.3622,100.983
nostr.ltd,19.076,72.8777
relay.fountain.fm:443,43.6532,-79.3832
bruh.samt.st,43.6532,-79.3832
relay.mitosystem.net,-23.5558,-46.6396
nostr.myshosholoza.co.za,52.3676,4.90414
nostr.fullstackcash.net,45.5201,-122.99
nostr.na.social,43.6532,-79.3832
nosflare-leefcore.leefcore.workers.dev,43.6532,-79.3832
nostr.88mph.life,52.1941,-2.21905
relay.qstr.app,50.1109,8.68213
relay.lightning.pub,39.0438,-77.4874
relay.orangesync.tech,40.7128,-74.006
nostr-02.yakihonne.com,1.32123,103.695
nostr-rs-relay-ishosta.phamthanh.me,43.6532,-79.3832
relay.bnos.space,43.6532,-79.3832
temp.iris.to,43.6532,-79.3832
nostr.relay.hedwig.sh,60.1699,24.9384
relay.nostr.space,43.6532,-79.3832
nostr.nestoris.online,55.568,37.5853
yabu.me,35.6092,139.73
nostr.wild-vibes.ts.net,48.8566,2.35222
bcast.seutoba.com.br,43.6532,-79.3832
nostr-dev.wellorder.net,45.5201,-122.99
portal-relay.pareto.space,49.4521,11.0767
hasky.chat,40.7862,-74.0743
relay.lanavault.space,60.1699,24.9384
offchain.pub,39.1585,-94.5728
nostr-relay.cbrx.io,43.6532,-79.3832
relay.nostrmap.net:443,60.1699,24.9384
relay.wavlake.com,41.2619,-95.8608
bitchat.nostr1.com,40.7057,-74.0136
relay.mappingbitcoin.com,43.6532,-79.3832
relay.ru.ac.th,13.7607,100.627
relay.nostr.com,50.1109,8.68213
relay.noeudlibre.fr,50.6924,3.20113
relay.satmaxt.xyz:443,43.6532,-79.3832
relay-dev.gulugulu.moe,43.6532,-79.3832
no.str.cr:443,8.96171,-83.5246
relay.nostrmap.net,60.1699,24.9384
relay.littlebitstudios.com,43.6532,-79.3832
relay-na1.metanomalist.com,43.6532,-79.3832
bucket.coracle.social,37.7775,-122.397
relay.nostr.bond,40.1885,29.061
relay.nostx.io,43.6532,-79.3832
relay.nostrfeed.com,60.1699,24.9384
relay.wavlake.com:443,41.2619,-95.8608
social.amanah.eblessing.co,48.1046,11.6002
relay-dev.gulugulu.moe:443,43.6532,-79.3832
relay.kilombino.com,43.6532,-79.3832
relay.lightning.pub:443,39.0438,-77.4874
relay.bitmacro.cloud,43.6532,-79.3832
relay.solomonstr.com,43.6532,-79.3832
relay.agentry.com,42.8864,-78.8784
relay.decentralia.fr,48.122,11.589
articles.layer3.news:443,37.3387,-121.885
nostr.tagomago.me,42.3601,-71.0589
relay.illuminodes.com,43.6532,-79.3832
nostr.nodesmap.com,59.3327,18.0656
relay.scuba323.com,40.8218,-74.45
nostr.yutakobayashi.com,43.6532,-79.3832
relay.pyramid.li,47.4093,8.46503
testr.nymble.world,40.8054,-74.0241
relay.mostr.pub,43.6532,-79.3832
infinity-signal-relay.digitalforlifeagency.workers.dev,43.6532,-79.3832
relay.artio.inf.unibe.ch,46.9501,7.43678
relay-can.zombi.cloudrodion.com,43.6532,-79.3832
relay.pprgb.app,52.52,13.405
fanfares.nostr1.com:443,40.7057,-74.0136
relay.lanacoin-eternity.com:443,40.8302,-74.1299
support.flotilla.social,32.9483,-96.7299
relay.agora.social,50.7383,15.0648
relay-us.zombi.cloudrodion.com,40.7862,-74.0743
offchain.pub:443,39.1585,-94.5728
nostr.snowbla.de,50.4754,12.3683
nostr.tabordalab.com,60.1699,24.9384
relay.nostrhub.fr,48.1045,11.6004
relay.chorus.community,50.7529,6.84585
nostr.linky.fit,50.1109,8.68213
relay.islandbitcoin.com,20.3898,78.0903
nostr-rs-relay.dev.fedibtc.com,39.0438,-77.4874
relay.orly.dev,32.7767,-96.797
relay.chorus.community:443,50.7529,6.84585
relay.sigit.io,50.4754,12.3683
relayone.geektank.ai,39.0997,-94.5786
